payment_date,code,codeLated,amount,amountRetarded,creditId,companyId
MIÉRCOLES,7000000095688532,7000000095688573,244.57,264.57,443328939700000,1
JUEVES,7000000095688581,7000000095688631,277.18,297.18,786123757500000,1
VIERNES,7000000095688649,7000000095688680,112.11,132.11,551972852800000,1
SÁBADO,7000000095688722,7000000095688748,277.18,297.18,715106309500000,1
DOMINGO,7000000095688763,7000000095688771,123.53,143.53,443714641100000,1
LUNES,7000000095688805,7000000095688888,439.28,459.28,443138420800000,1
MARTES,7000000095688904,7000000095688961,258.38,278.38,443648872500000,1
MIÉRCOLES,7000000095688995,7000000095689050,265.74,285.74,351161075200000,1
JUEVES,7000000095689084,7000000095689118,509.43,529.43,443858441800000,1
VIERNES,7000000095689142,7000000095689175,387.58,407.58,351281850500000,1
SÁBADO,7000000095689191,7000000095689233,387.58,407.58,443469895700000,1
DOMINGO,7000000095689274,7000000095689290,387.58,407.58,351135258000000,1
LUNES,7000000095689324,7000000095689365,321.12,341.12,393936249500000,1
MIÉRCOLES,7000000095689431,7000000095689449,265.74,285.74,393100032900000,1
JUEVES,7000000095690652,7000000095690686,248.13,268.13,452137103500000,1
VIERNES,7000000095690694,7000000095690777,182.10,202.10,453145015700000,1
SÁBADO,7000000095690819,7000000095690868,199.17,219.17,452309433900000,1
DOMINGO,7000000095690876,7000000095690892,182.10,202.10,351146245200000,1
LUNES,7000000095690918,7000000095690942,239.02,259.02,331820020400000,1
MARTES,7000000095691007,7000000095691023,239.02,259.02,443362810700000,1
MIÉRCOLES,7000000095691049,7000000095691064,227.63,247.63,715120353300000,1
JUEVES,7000000095691098,7000000095691130,159.94,179.94,434152493800000,1
VIERNES,7000000095691163,7000000095691171,227.63,247.63,464170240200000,1
SÁBADO,7000000095691189,7000000095691213,159.94,179.94,464639997000000,1
DOMINGO,7000000095691247,7000000095691270,223.05,243.05,464214630400000,1
LUNES,7000000095691304,7000000095691320,301.45,321.45,844289052000000,1
MARTES,7000000095691395,7000000095691445,276.81,296.81,786182954700000,1
MIÉRCOLES,7000000095691478,7000000095691502,265.74,285.74,351148479400000,1
JUEVES,7000000095691551,7000000095691601,265.74,285.74,352142012800000,1
VIERNES,7000000095691627,7000000095691650,199.17,219.17,438124578300000,1
SÁBADO,7000000095691692,7000000095691718,153.78,173.78,786140156800000,1
DOMINGO,7000000095691734,7000000095691809,147.63,167.63,434562246500000,1
LUNES,7000000095691841,7000000095691866,215.32,235.32,664766872300000,1
MARTES,7000000095691908,7000000095691916,147.63,167.63,715135156500000,1
MIÉRCOLES,7000000095691973,7000000095692005,91.35,111.35,353134332500000,1
JUEVES,7000000095692062,7000000095692104,374.52,394.52,353152985700000,1
VIERNES,7000000095692138,7000000095692161,239.02,259.02,663118565000000,1
SÁBADO,7000000095692211,7000000095692245,161.49,181.49,715147061800000,1
domingo,7000000095692294,7000000095692328,161.49,181.49,443325664300000,1
lunes,7000000095693300,7000000095693326,283.02,303.02,443935080000000,1
martes,7000000095693342,7000000095693375,215.32,235.32,715254306600000,1
miércoles,7000000095693409,7000000095693425,215.32,235.32,443529577200000,1
jueves,7000000095693458,7000000095693466,215.32,235.32,786181082900000,1
viernes,7000000095693474,7000000095693490,178.40,198.40,447115980400000,1
sábado,7000000095693540,7000000095693573,147.63,167.63,351183089200000,1
domingo,7000000095693607,7000000095693623,225.60,245.60,331462851000000,1
lunes,7000000095693672,7000000095693698,338.42,358.42,436161701100000,1
martes,7000000095693714,7000000095693763,133.80,153.80,436127280200000,1
miércoles,7000000095693789,7000000095693797,212.26,232.26,436121765000000,1
jueves,7000000095693862,7000000095693896,110.72,130.72,443345371900000,1
viernes,7000000095693912,7000000095693938,283.02,303.02,351519276600000,1
sábado,7000000095693979,7000000095693995,246.09,266.09,392159144700000,1
domingo,7000000095694043,7000000095694084,178.40,198.40,351913345800000,1
lunes,7000000095694126,7000000095694167,225.60,245.60,353149090000000,1
martes,7000000095694209,7000000095694225,225.60,245.60,786113542700000,1
miércoles,7000000095694258,7000000095694274,175.95,195.95,393107686200000,1
jueves,7000000095694290,7000000095694332,239.02,259.02,348113432400000,1
viernes,7000000095694399,7000000095694431,239.02,259.02,348111308600000,1
sábado,7000000095694480,7000000095694548,239.02,259.02,348194040300000,1
domingo,7000000095930165,7000000095930223,277.18,297.18,354314905324197,1
lunes,7000000095694597,7000000095694613,161.49,181.49,715109583300000,1
martes,7000000095694621,7000000095694662,281.49,301.49,786263242500000,1
miércoles,7000000095694712,7000000095694738,147.63,167.63,351162936100000,1
jueves,7000000095694779,7000000095694811,215.32,235.32,393102464300000,1
viernes,7000000095694829,7000000095694845,209.17,229.17,351202660700000,1
sábado,7000000095695800,7000000095695842,283.02,303.02,443712732000000,1
domingo,7000000095695875,7000000095695891,155.66,175.66,786244124700000,1
lunes,7000000095695917,7000000095695958,108.26,128.26,443446594000000,1
martes,7000000095695974,7000000095696030,81.20,101.20,447111289900000,1
miércoles,7000000095696071,7000000095696121,260.58,280.58,921246674000000,1
jueves,7000000095696154,7000000095696196,135.34,155.34,434138253300000,1
viernes,7000000095696238,7000000095696303,130.83,150.83,393124934500000,1
sábado,7000000095696345,7000000095696378,229.82,249.82,447104564500000,1
domingo,7000000095696402,7000000095696469,98.12,118.12,464186524600000,1
lunes,7000000095696501,7000000095696550,108.26,128.26,351406096600000,1
martes,7000000095696618,7000000095696659,135.34,155.34,331988072600000,1
miércoles,7000000095696733,7000000095696741,157.90,177.90,351156824500000,1
jueves,7000000095696790,7000000095696816,157.90,177.90,715107047400000,1
viernes,7000000095696832,7000000095696840,225.60,245.60,715118502100000,1
sábado,7000000095696865,7000000095696923,108.26,128.26,351108611000000,1
domingo,7000000095696949,7000000095696980,108.26,128.26,443418975000000,1
lunes,7000000095697004,7000000095697020,157.90,177.90,393167783200000,1
martes,7000000095697053,7000000095697095,108.26,128.26,351509758300000,1
miércoles,7000000095697129,7000000095697210,347.44,367.44,393197739900000,1
jueves,7000000095697236,7000000095697269,180.47,200.47,393131605900000,1
viernes,7000000095697285,7000000095697319,157.90,177.90,353142684800000,1
sábado,7000000095697335,7000000095697392,107.97,127.97,353135513500000,1
domingo,7000000095697426,7000000095697467,83.05,103.05,786262259300000,1
lunes,7000000095697491,7000000095697533,166.13,186.13,331954131400000,1
martes,7000000095697566,7000000095697608,206.68,226.68,786210514000000,1
miércoles,7000000095698697,7000000095698721,206.68,226.68,715106681800000,1
jueves,7000000095698747,7000000095698754,276.81,296.81,786210528800000,1
viernes,7000000095698796,7000000095698812,321.12,341.12,443474212900000,1
sábado,7000000095698853,7000000095698879,239.02,259.02,348111182100000,1
domingo,7000000095698937,7000000095698960,182.10,202.10,391103933600000,1
lunes,7000000095698986,7000000095699000,193.80,213.80,786101019300000,1
martes,7000000095699067,7000000095699117,133.80,153.80,464318809800000,1
miércoles,7000000095699141,7000000095699174,283.02,303.02,443374156500000,1
jueves,7000000095699232,,209.73,,393197092600000,1
viernes,7000000095699307,,209.73,,715136368300000,1
sábado,7000000095699323,,269.31,,715254012100000,1
domingo,7000000095699398,,128.56,,393105686100000,1
lunes,7000000095699430,,128.56,,449659909800000,1
martes,7000000095699455,,176.00,,786181478100000,1
miércoles,7000000095699497,7000000095699513,203.04,223.04,553414107400000,1
jueves,7000000095699554,7000000095699596,157.90,177.90,715146498500000,1
viernes,7000000095699646,7000000095699695,112.78,132.78,436111003900000,1
sábado,7000000095699711,7000000095699760,103.75,123.75,443229176500000,1
domingo,7000000095699851,7000000095699885,103.75,123.75,464639981900000,1
lunes,7000000095699976,7000000095700014,108.26,128.26,331266830000000,1
martes,7000000095700063,7000000095700089,275.24,295.24,447170805100000,1
miércoles,7000000095700113,7000000095700147,112.78,132.78,393100148100000,1
jueves,7000000095700170,7000000095700196,153.39,173.39,353126945400000,1
viernes,7000000095700220,7000000095700253,66.43,86.43,443946406000000,1
sábado,7000000095700295,7000000095700345,127.36,147.36,447129531300000,1
domingo,7000000095701129,7000000095701178,254.66,274.66,351148200200000,1
lunes,7000000095701194,7000000095701210,254.66,274.66,351134127700000,1
martes,7000000095701269,7000000095701293,254.66,274.66,786142659800000,1
miércoles,7000000095701343,7000000095701350,156.88,176.88,464155903900000,1
jueves,7000000095701400,7000000095701475,258.40,278.40,353148011300000,1
viernes,7000000095701533,7000000095701574,196.86,216.86,464137173600000,1
sábado,7000000095701608,,129.00,,393132829000000,1
domingo,7000000095701640,,129.00,,393158880100000,1
lunes,7000000095701681,,149.00,,393126018600000,1
martes,7000000095701731,,269.00,,715112535300000,1
miércoles,7000000095701772,7000000095701822,270.72,290.72,434170705700000,1
jueves,7000000095701830,7000000095701855,103.75,123.75,351281379100000,1
viernes,7000000095701889,7000000095701939,153.39,173.39,436104096900000,1
sábado,7000000095701988,7000000095702044,96.90,116.90,335709518706295,1
domingo,7000000095702093,7000000095702135,147.63,167.63,335748177027575,1
lunes,7000000095702168,7000000095702218,239.13,259.13,344314905826506,1
martes,7000000095702242,7000000095702275,209.18,229.18,345691312634429,1
miércoles,7000000095702309,7000000095702341,347.44,367.44,350090710080083,1
jueves,7000000095702390,7000000095702465,280.89,300.89,350090710292076,1
viernes,7000000095702531,7000000095702556,374.52,394.52,350090710292530,1
sábado,7000000095702598,7000000095702630,374.52,394.52,350090710292647,1
domingo,7000000095702663,7000000095702697,374.52,394.52,350090710293165,1
lunes,7000000095702747,7000000095702796,510.71,530.71,350090710294593,1
martes,7000000095702853,7000000095702861,229.82,249.82,350090710294643,1
miércoles,7000000095702879,7000000095702887,374.52,394.52,350090710294817,1
jueves,7000000095704149,7000000095704180,246.84,266.84,350090710302180,1
viernes,7000000095704222,7000000095704263,374.52,394.52,350090710303147,1
sábado,7000000095704305,7000000095704354,374.52,394.52,350090710303980,1
domingo,7000000095704396,7000000095704412,383.03,403.03,350090710304053,1
lunes,7000000095704438,7000000095704503,280.89,300.89,350090710337152,1
martes,7000000095704552,7000000095704586,280.89,300.89,350090710339208,1
miércoles,7000000095704610,7000000095704644,374.52,394.52,350090710436673,1
jueves,7000000095704701,7000000095704727,355.34,375.34,350090710437689,1
viernes,7000000095704800,7000000095704826,280.89,300.89,350090710438711,1
sábado,7000000095704842,7000000095704925,197.90,217.90,350090710438745,1
domingo,7000000095704966,7000000095704982,229.82,249.82,350090710439271,1
lunes,7000000095705021,7000000095705104,229.82,249.82,350090710439719,1
martes,7000000095705120,7000000095705187,325.58,345.58,350090710483857,1
miércoles,7000000095705245,7000000095705294,374.52,394.52,350090710484533,1
jueves,7000000095705310,7000000095705344,280.89,300.89,350090710661759,1
viernes,7000000095705419,7000000095705450,374.52,394.52,350090710662534,1
sábado,7000000095705476,7000000095705526,229.82,249.82,350090710662856,1
domingo,7000000095705567,7000000095705583,374.52,394.52,350090710663219,1
lunes,7000000095705641,7000000095705708,280.89,300.89,350090710684066,1
martes,7000000095705757,7000000095705773,197.90,217.90,350090710711455,1
miércoles,7000000095705799,7000000095705823,374.52,394.52,350090710713758,1
jueves,7000000095705864,7000000095705930,246.84,266.84,350090710716181,1
viernes,7000000095705963,7000000095705989,197.90,217.90,350090710717197,1
sábado,7000000095706060,7000000095706102,510.71,530.71,350090710814150,1
domingo,7000000095706177,7000000095706219,473.78,493.78,350090710815462,1
lunes,7000000095707423,7000000095707480,229.82,249.82,350090710819795,1
martes,7000000095707548,7000000095707571,325.58,345.58,350090710833044,1
miércoles,7000000095707613,7000000095707654,229.82,249.82,350090710834000,1
jueves,7000000095707696,7000000095707720,374.52,394.52,350090710834398,1
viernes,7000000095707753,7000000095707779,129.18,149.18,350246956641950,1
sábado,7000000095707837,7000000095707886,126.31,146.31,350246956642123,1
domingo,7000000095707936,7000000095707969,172.25,192.25,350246956643733,1
lunes,7000000095707993,7000000095708009,126.31,146.31,350246956643832,1
martes,7000000095708066,7000000095708090,126.31,146.31,350246956643857,1
miércoles,7000000095708140,7000000095708173,126.31,146.31,350246956644020,1
jueves,7000000095708215,7000000095708223,129.18,149.18,350246956644095,1
viernes,7000000095708280,7000000095708322,129.18,149.18,350246956644160,1
sábado,7000000095708413,7000000095708421,172.25,192.25,350246956646314,1
domingo,7000000095708447,7000000095708496,77.51,97.51,350246956646934,1
lunes,7000000095708546,7000000095708603,126.31,146.31,350246956647734,1
martes,7000000095708652,7000000095708686,126.31,146.31,350246956648732,1
miércoles,7000000095708710,7000000095708728,94.74,114.74,350246956648815,1
jueves,7000000095708777,7000000095708801,172.25,192.25,350246956692948,1
viernes,7000000095708868,7000000095708892,126.31,146.31,350246956869205,1
sábado,7000000095708934,7000000095708975,129.18,149.18,350246956873850,1
domingo,7000000095709023,7000000095709056,77.51,97.51,350246956876200,1
lunes,7000000095709080,7000000095709114,126.31,146.31,350246956879311,1
martes,7000000095709189,7000000095709213,126.31,146.31,350246956883248,1
miércoles,7000000095709254,7000000095709312,172.25,192.25,350246956884048,1
jueves,7000000095709320,7000000095709353,172.25,192.25,350246956884303,1
viernes,7000000095710476,7000000095710526,126.31,146.31,350246956889567,1
sábado,7000000095710591,7000000095710633,126.31,146.31,350246956889906,1
domingo,7000000095710674,7000000095710732,126.31,146.31,350246956890136,1
lunes,7000000095710773,7000000095710823,172.25,192.25,350246956890557,1
martes,7000000095710864,7000000095710914,172.25,192.25,350246956932664,1
miércoles,7000000095710955,7000000095710997,126.31,146.31,350246956932714,1
jueves,7000000095711052,7000000095711094,126.31,146.31,350246956933035,1
viernes,7000000095711136,7000000095711185,94.74,114.74,350246956933134,1
sábado,7000000095711235,7000000095711318,172.25,192.25,350246956934314,1
domingo,7000000095711375,7000000095711417,126.31,146.31,350246956935139,1
lunes,7000000095711425,7000000095711458,209.17,229.17,350246956935527,1
martes,7000000095711516,7000000095711573,94.74,114.74,350246956937671,1
miércoles,7000000095711607,7000000095711615,172.25,192.25,350246956938455,1
jueves,7000000095711649,7000000095711714,129.18,149.18,350246957023216,1
viernes,7000000095711763,7000000095711797,172.25,192.25,350246957024586,1
sábado,7000000095711839,7000000095711888,209.17,229.17,350246957032688,1
domingo,7000000095711938,7000000095711987,172.25,192.25,350246957032696,1
lunes,7000000095712043,7000000095712076,172.25,192.25,350246957037380,1
martes,7000000095712100,7000000095712134,129.18,149.18,350246957046472,1
miércoles,7000000095712167,7000000095712209,129.18,149.18,350246957047074,1
jueves,7000000095712233,7000000095712290,126.31,146.31,350246957051159,1
viernes,7000000095712324,7000000095712373,172.25,192.25,350246957051704,1
sábado,7000000095712415,7000000095712449,172.25,192.25,350246957051886,1
domingo,7000000095712464,7000000095712514,172.25,192.25,350246957053502,1
lunes,7000000095712563,7000000095712647,129.18,149.18,350246957053528,1
martes,7000000095713850,7000000095713884,172.25,192.25,350246957054526,1
miércoles,7000000095713918,7000000095713926,172.25,192.25,350246957081339,1
jueves,7000000095713959,7000000095713983,126.31,146.31,350246957316206,1
viernes,7000000095714007,7000000095714056,94.74,114.74,350246957317931,1
sábado,7000000095714098,7000000095714130,510.71,530.71,350320361789264,1
domingo,7000000095714155,7000000095714205,197.90,217.90,350320361789280,1
lunes,7000000095714213,7000000095714288,197.90,217.90,350320361857087,1
martes,7000000095714312,7000000095714361,229.82,249.82,350320361857178,1
miércoles,7000000095714403,7000000095714429,325.58,345.58,350320361857244,1
jueves,7000000095714460,7000000095714502,374.52,394.52,350320361916495,1
viernes,7000000095714569,7000000095714593,197.90,217.90,350320361937533,1
sábado,7000000095714650,7000000095714668,374.52,394.52,350320362441501,1
domingo,7000000095714700,7000000095714767,270.72,290.72,350350681386376,1
lunes,7000000095714783,7000000095714858,203.04,223.04,350350681386434,1
martes,7000000095974312,7000000095974361,184.57,204.57,354691313099325,1
miércoles,7000000095714882,7000000095714924,270.72,290.72,350350681393273,1
jueves,7000000095714981,7000000095715038,664.50,684.50,350350681399130,1
viernes,7000000095715129,7000000095715178,166.13,186.13,350350681400169,1
sábado,7000000095715244,7000000095715277,369.17,389.17,350350681404963,1
domingo,7000000095715319,7000000095715376,276.88,296.88,350350681405283,1
lunes,7000000095715426,7000000095715459,369.17,389.17,350350681406067,1
martes,7000000095715483,7000000095715517,516.84,536.84,350350681414079,1
miércoles,7000000095715558,7000000095715616,270.72,290.72,350350681419821,1
jueves,7000000095715673,7000000095715731,203.04,223.04,350350681444183,1
viernes,7000000095715764,7000000095715798,270.72,290.72,350350681444225,1
sábado,7000000095715855,7000000095715939,276.88,296.88,350350681444308,1
domingo,7000000095717166,7000000095717190,270.72,290.72,350350681465386,1
lunes,7000000095717232,7000000095717299,270.72,290.72,350350681465774,1
martes,7000000095717356,7000000095717380,203.04,223.04,350350681482811,1
miércoles,7000000095717422,7000000095717448,270.72,290.72,350350681736828,1
jueves,7000000095717463,7000000095717505,369.17,389.17,350350681736927,1
viernes,7000000095717554,7000000095717562,270.72,290.72,350350681736935,1
sábado,7000000095717612,7000000095717661,369.17,389.17,350350681737412,1
domingo,7000000095717695,7000000095717737,369.17,389.17,350350681785734,1
lunes,7000000095717794,7000000095717836,270.72,290.72,350350681787581,1
martes,7000000095717877,7000000095717893,270.72,290.72,350350681788142,1
miércoles,7000000095717927,7000000095717943,276.88,296.88,350350681788696,1
jueves,7000000095718008,7000000095718057,166.13,186.13,350350682087007,1
viernes,7000000095718065,7000000095718099,276.88,296.88,350350682099549,1
sábado,7000000095718115,7000000095718172,270.72,290.72,350350682136085,1
domingo,7000000095718222,7000000095718248,276.88,296.88,350350682137836,1
lunes,7000000095718263,7000000095718289,166.13,186.13,350350682138784,1
martes,7000000095718313,7000000095718347,166.13,186.13,350350682154385,1
miércoles,7000000095718354,7000000095718412,369.17,389.17,350350682158717,1
jueves,7000000095718453,7000000095718461,270.72,290.72,350350682259903,1
viernes,7000000095718578,7000000095718602,270.72,290.72,350350682259911,1
sábado,7000000095718644,7000000095718669,270.72,290.72,350350682260042,1
domingo,7000000095718701,7000000095718727,369.17,389.17,350350682260117,1
lunes,7000000095718776,7000000095718818,276.88,296.88,350350682264051,1
martes,7000000095718859,7000000095718909,369.17,389.17,350350682266007,1
miércoles,7000000095718933,7000000095718982,166.13,186.13,350350682266072,1
jueves,7000000095720327,7000000095720384,270.72,290.72,350350682433961,1
viernes,7000000095720434,7000000095720491,270.72,290.72,350350682434316,1
sábado,7000000095720517,7000000095720541,369.17,389.17,350350682434506,1
domingo,7000000095720673,7000000095720699,369.17,389.17,350350682446294,1
lunes,7000000095720715,7000000095720772,270.72,290.72,350350682448910,1
martes,7000000095720780,7000000095720830,270.72,290.72,350350682468538,1
miércoles,7000000095720871,7000000095720947,270.72,290.72,350350682472357,1
jueves,7000000095720970,7000000095721069,664.50,684.50,350350682504233,1
viernes,7000000095721101,7000000095721135,270.72,290.72,350350682517102,1
sábado,7000000095721176,7000000095721259,248.13,268.13,350481562906634,1
domingo,7000000095721283,7000000095721309,248.13,268.13,350481562906808,1
lunes,7000000095721341,7000000095721390,184.57,204.57,350481564151833,1
martes,7000000095721432,7000000095721473,248.13,268.13,350481564203162,1
miércoles,7000000095721515,7000000095721523,133.82,153.82,350481564367421,1
jueves,7000000095721564,7000000095721580,248.13,268.13,350481564698965,1
viernes,7000000095721614,7000000095721671,248.13,268.13,350481564704540,1
sábado,7000000095721747,7000000095721770,248.13,268.13,350481564712022,1
domingo,7000000095721804,7000000095721853,248.13,268.13,350481564712634,1
lunes,7000000095721895,7000000095721929,133.82,153.82,350481564961702,1
martes,7000000095805664,7000000095805706,138.43,158.43,352295695076109,1
miércoles,7000000095721945,7000000095721978,133.82,153.82,350481564972378,1
jueves,7000000095721994,7000000095722000,203.03,223.03,350481565081393,1
viernes,7000000095722059,7000000095722083,248.13,268.13,350481565140421,1
sábado,7000000095722125,7000000095722158,83.05,103.05,350481565181631,1
domingo,7000000095722208,7000000095722232,276.86,296.86,350481566160907,1
lunes,7000000095723602,7000000095723644,133.82,153.82,350481566161038,1
martes,7000000095723701,7000000095723735,186.12,206.12,350616250985339,1
miércoles,7000000095752015,7000000095752064,664.50,684.50,351406752899991,1
jueves,7000000095723743,7000000095723776,473.76,493.76,350616251187851,1
viernes,7000000095723818,7000000095723834,208.68,228.68,350616251829320,1
sábado,7000000095723875,7000000095723933,138.42,158.42,350633292414947,1
domingo,7000000095723974,7000000095723990,180.47,200.47,350633292491549,1
lunes,7000000095724022,7000000095724055,344.55,364.55,350771650755343,1
martes,7000000095724105,7000000095724121,252.67,272.67,350771650762281,1
miércoles,7000000095724220,7000000095724253,344.55,364.55,350771650777818,1
jueves,7000000095724279,7000000095724329,199.36,219.36,350771650842323,1
viernes,7000000095724394,7000000095724436,252.67,272.67,350771650858329,1
sábado,7000000095724485,7000000095724501,110.74,130.74,350915060539728,1
domingo,7000000095724535,7000000095724550,172.25,192.25,350915060543142,1
lunes,7000000095724600,7000000095724667,118.94,138.94,350915060546384,1
martes,7000000095724691,7000000095724725,172.25,192.25,350915060549685,1
miércoles,7000000095724766,7000000095724808,95.36,115.36,350915060556649,1
jueves,7000000095724840,7000000095724881,227.63,247.63,350915060575326,1
viernes,7000000095724923,7000000095724949,95.36,115.36,350915060687881,1
sábado,7000000095725029,7000000095725094,246.09,266.09,350915060688541,1
domingo,7000000095725136,7000000095725151,166.93,186.93,350915060699449,1
lunes,7000000095725169,7000000095725185,209.17,229.17,350915060705642,1
martes,7000000095725227,7000000095725292,71.51,91.51,351084955715817,1
miércoles,7000000095725359,7000000095725409,126.31,146.31,351084955735914,1
jueves,7000000095725490,7000000095725557,156.87,176.87,351084957079006,1
viernes,7000000095725623,7000000095725656,104.58,124.58,351084957082059,1
sábado,7000000095726746,7000000095726761,101.50,121.50,351084957083693,1
domingo,7000000095726795,7000000095726829,199.17,219.17,351084958246109,1
lunes,7000000095726860,7000000095726936,199.17,219.17,351084958252941,1
martes,7000000095726977,7000000095726985,199.17,219.17,351084958253030,1
miércoles,7000000095727025,7000000095727041,199.17,219.17,351084958254616,1
jueves,7000000095727082,7000000095727116,199.17,219.17,351084958254806,1
viernes,7000000095727132,7000000095727181,199.17,219.17,351084958255019,1
sábado,7000000095727256,7000000095727280,199.17,219.17,351084958257767,1
domingo,7000000095727348,7000000095727397,199.17,219.17,351084958257874,1
lunes,7000000095727447,7000000095727496,199.17,219.17,351084958258518,1
martes,7000000095727546,7000000095727553,199.17,219.17,351084958258773,1
miércoles,7000000095727587,7000000095727595,199.17,219.17,351084958259060,1
jueves,7000000095727645,7000000095727686,71.51,91.51,351084959545335,1
viernes,7000000095727728,7000000095727751,89.20,109.20,351084959548461,1
sábado,7000000095727793,7000000095727868,71.51,91.51,351084959550160,1
domingo,7000000095727892,7000000095727918,85.82,105.82,351165141419602,1
lunes,7000000095727967,7000000095728031,139.85,159.85,351165141437315,1
martes,7000000095728056,7000000095728080,139.85,159.85,351165141437703,1
miércoles,7000000095728106,7000000095728130,190.71,210.71,351165141628962,1
jueves,7000000095728171,7000000095728239,321.12,341.12,351165142348081,1
viernes,7000000095728270,7000000095728296,130.83,150.83,351165142348743,1
sábado,7000000095728338,7000000095728379,117.29,137.29,351165142385943,1
domingo,7000000095728395,7000000095728411,287.89,307.89,351165142388384,1
lunes,7000000095728445,7000000095728494,159.94,179.94,351165142392428,1
martes,7000000095728551,7000000095728684,287.89,307.89,351165142395694,1
miércoles,7000000095730078,7000000095730094,133.80,153.80,351165142400882,1
jueves,7000000095730128,7000000095730169,130.83,150.83,351165142402284,1
viernes,7000000095730177,7000000095730201,117.29,137.29,351165142403043,1
sábado,7000000095730250,7000000095730359,117.29,137.29,351165142404397,1
domingo,7000000095730425,7000000095730458,117.29,137.29,351165142408265,1
lunes,7000000095730482,7000000095730508,159.94,179.94,351165142408554,1
martes,7000000095730557,7000000095730615,249.76,269.76,351165142419247,1
miércoles,7000000095730649,7000000095730680,130.83,150.83,351165142419353,1
jueves,7000000095730714,7000000095730748,133.80,153.80,351165142422290,1
viernes,7000000095730763,7000000095730805,178.40,198.40,351165145380743,1
sábado,7000000095730813,7000000095730896,159.94,179.94,351165145466740,1
domingo,7000000095730946,7000000095730961,223.91,243.91,351165148625763,1
lunes,7000000095731027,7000000095731043,117.29,137.29,351165148646033,1
martes,7000000095731142,7000000095731183,87.97,107.97,351165148646637,1
miércoles,7000000095731233,7000000095731282,119.95,139.95,351165148646967,1
jueves,7000000095731316,7000000095731365,321.12,341.12,351165148647288,1
viernes,7000000095731407,7000000095731449,119.95,139.95,351165148647445,1
sábado,7000000095731464,7000000095731480,249.76,269.76,351165148647528,1
domingo,7000000095731522,7000000095731571,130.83,150.83,351165148647551,1
lunes,7000000095731639,,128.56,,351165148647650,1
martes,7000000095731654,7000000095731712,117.29,137.29,351165148648302,1
miércoles,7000000095731746,7000000095731787,287.89,307.89,351165148650415,1
jueves,7000000095731803,7000000095731852,159.94,179.94,351165148650761,1
viernes,7000000095731894,7000000095731951,130.83,150.83,351165148650993,1
sábado,7000000095731985,7000000095732009,98.12,118.12,351165148651033,1
domingo,7000000095733270,7000000095733304,178.40,198.40,351165149331841,1
lunes,7000000095733338,7000000095733387,117.29,137.29,351165149331981,1
martes,7000000095733429,7000000095733478,151.64,171.64,351165149335461,1
miércoles,7000000095733502,7000000095733569,121.80,141.80,351165149335511,1
jueves,7000000095733593,7000000095733619,130.83,150.83,351165149390110,1
viernes,7000000095733650,7000000095733684,159.94,179.94,351165149390185,1
